Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.25,0.01,4,28.61009783893722,55.714614248976154,97.43191689735245,1,0.26726754981991396,8,18.5086313222066,5.534535099639828,12.497430034267849,5.031173308922747,7.0474579129859505,54.49931270449192,30.555741428432114
0.1,0.01,4,31.569573717574144,54.589774024909765,97.86227553719263,1,0.3375556098199137,8,18.5086313222066,5.6751112196398275,12.497430034267849,4.8226054919308385,7.0474579129859505,57.67840611149002,30.555741428432114
0.1,0.01,3,32.232049657146966,74.11824642078292,95.38222238626666,0,0.0,11,30.17216075142305,4.804303256571694,18.562510619178163,7.975260874700703,11.768484710474636,75.8430685565872,47.51096416725644
0.0,0.01,4,33.30230329743231,60.14675125976652,97.6317678433375,0,0.0,8,18.5086313222066,4.980631877693412,12.497430034267849,4.700492104044476,7.0474579129859505,56.59020261222581,30.555741428432114
0.25,0.01,0,17.10822431216716,59.111232908231315,95.62729164402305,6,2.755370974153485,9,26.429462920267863,6.62264906,16.196744316443834,8.329932825508418,10.04916682793552,76.58962697686245,49.49019033571015
0.5,0.01,4,32.501085636301205,60.18351851809606,96.30584772663917,0,0.0,8,18.5086313222066,4.97603691530816,12.497430034267849,4.756957581504101,7.0474579129859505,45.41427698237254,30.555741428432114
0.0,0.01,2,35.20131842918482,70.0320513427503,95.70978555438867,1,0.03595353755364927,9,27.434071488729373,5.0719070751072985,16.924438616456065,6.804798607961873,10.501446083475102,71.72419180111835,39.35931042225946
0.25,0.01,3,30.830551381521325,60.2812743854666,95.8675597214021,4,1.503062066060497,11,30.17216075142305,7.37279266,18.562510619178163,8.140195984985272,11.768484710474636,75.1742755784155,47.51096416725644
0.1,0.01,2,36.251966002901746,64.57213147301039,96.59612988682456,4,1.2008843866108942,9,27.434071488729373,5.995967861969115,16.924438616456065,6.694465419480651,10.501446083475102,76.86659220494498,39.35931042225946
0.1,0.01,0,20.34685126437742,57.35943298791256,96.31898189823121,4,1.7413729880825226,9,26.429462920267863,6.906383614029697,16.196744316443834,8.004477800146326,10.04916682793552,79.44577445469689,49.49019033571015
0.5,0.01,0,19.28296705626646,55.360792399126765,94.04111499265315,5,3.492392601532294,9,26.429462920267863,7.230098320000001,16.196744316443834,8.111389299075457,10.04916682793552,63.9269895353423,49.49019033571015
