Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.1,0.01,4,-33.227760317866085,60.44418391265186,100.0
0.25,0.01,4,-30.887457803690054,50.705707948691,100.0
0.25,0.01,3,-7.087618552120236,38.71247401067516,100.0
0.25,0.01,0,-17.507276529893314,70.43678231594559,100.0
0.1,0.01,3,-6.89071522394075,74.30573300212788,100.0
0.0,0.01,4,-21.27012928145149,56.70983180522903,100.0
0.0,0.01,3,-0.35001514534272343,68.4303321150859,100.0
0.25,0.01,2,-38.40633391015424,6.667013790099579,100.0
0.5,0.01,4,-31.607854662319795,12.00173355766036,100.0
0.1,0.01,0,-28.363454893720565,62.600386153839146,100.0
0.25,0.01,1,-21.472336273071683,-12.406704269264052,100.0
0.5,0.01,0,-48.50242806607364,16.939211133057015,100.0
0.0,0.01,0,-34.057048122716296,58.18061149696515,100.0
0.5,0.01,2,-43.01101599713606,-6.813786853896906,100.0
0.0,0.01,2,-24.622548309725595,60.419777271154786,100.0
0.1,0.01,2,-24.56851563290958,51.18861548549347,100.0
0.1,0.01,1,-16.8409078590367,54.287027100902364,100.0
0.0,0.01,1,-8.70368030616138,63.64119102533968,100.0
0.5,0.01,3,-15.53751697282118,34.76669730500006,100.0
0.5,0.01,1,-2.3474763952910114,-1.2186681124939334,100.0
0.75,0.01,4,-38.40773440386976,55.149348989107,100.0
0.0,0.05,4,-31.975263306390218,51.631585186512865,100.0
0.75,0.01,0,-46.465903592004935,22.52564074089726,100.0
0.75,0.01,2,-15.305481682307187,1.5461069190303065,100.0
0.75,0.01,1,-20.44852065811287,-10.907019933892537,100.0
0.75,0.01,3,-12.723579286837271,28.409864308600973,100.0
0.1,0.05,4,-26.15060951806768,60.153454379456846,100.0
0.0,0.05,3,-0.5699906696679358,60.324526024022994,100.0
0.25,0.05,4,-43.81920732282878,60.466526746277204,100.0
0.0,0.05,0,-32.124061916666584,60.193097919783376,100.0
0.1,0.05,3,-5.043715982216925,72.28354447547363,100.0
0.1,0.05,0,-28.75227710523156,58.80574994521112,100.0
0.0,0.05,2,-26.01450243099913,60.419777271154786,100.0
0.25,0.05,0,-39.338902278310776,61.84463025865147,100.0
0.0,0.05,1,-8.65390182528785,64.23792606064741,100.0
0.5,0.05,4,-21.066030639524953,58.762930491557505,100.0
0.25,0.05,3,-17.67894388109692,52.883198025142875,100.0
0.1,0.05,1,-12.112276226338276,56.96537933964596,100.0
0.5,0.05,0,-27.713323048793665,25.92887208931324,100.0
0.25,0.05,1,-12.601048936357786,44.910326057297866,100.0
