Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.75,0.05,0,88.62590671228837,86.8674591267533,100.0
0.0,0.05,0,88.65850639955484,91.62514552266508,100.0
0.5,0.01,0,88.75116851788388,85.71919965562549,100.0
0.0,0.01,0,88.65850639955484,91.62514552266508,100.0
0.0,0.15,0,88.65850639955484,91.62514552266508,100.0
0.0,0.3,0,88.65850639955484,91.62514552266508,100.0
0.1,0.01,0,87.37259400900855,92.15425483517834,100.0
0.1,0.05,0,88.49669701905627,90.08836317846807,100.0
0.1,0.15,0,88.76600218499337,90.66221598552904,100.0
0.25,0.15,0,87.31901180459938,90.94553171037325,100.0
0.25,0.05,0,87.68785976442722,91.37298760434116,100.0
0.5,0.15,0,87.89894169896732,91.40153189811514,100.0
0.25,0.01,0,87.8790021106512,91.25432039089753,100.0
0.5,0.05,0,87.71970734282533,86.76905124326333,100.0
0.75,0.15,0,88.03776892961763,86.64731157507862,100.0
0.75,0.01,0,87.96182179763328,66.80976773926037,100.0
0.0,0.5,0,88.65850639955484,91.62514552266508,100.0
0.25,0.3,0,88.97436626501685,89.69226832080889,100.0
0.1,0.3,0,88.71391499578857,91.62821853572977,100.0
0.25,0.5,0,88.65850639955484,91.62514552266508,100.0
0.1,0.5,0,88.65850639955484,91.62514552266508,100.0
0.75,0.5,0,88.65850639955484,91.62514552266508,100.0
0.5,0.5,0,88.65850639955484,91.62514552266508,100.0
0.5,0.3,0,87.32383968383634,90.88295368524322,100.0
0.75,0.3,0,87.6761017000923,91.37298760434116,100.0
0.0,0.01,14,98.04243685867235,91.88261441075058,100.0
0.0,0.01,15,98.15574047795555,90.28935203059932,100.0
0.0,0.01,12,94.49554717631806,74.04232013377732,100.0
0.0,0.01,11,95.94743366713645,92.42028662429202,100.0
0.0,0.01,9,97.36037642475362,93.82199690590261,100.0
0.0,0.01,2,87.83169864492874,85.50538195720586,100.0
0.0,0.01,5,86.3066562535387,89.27136863766522,100.0
0.0,0.01,13,88.56170403729602,93.75372560700959,100.0
0.0,0.01,3,93.59998538768527,92.39342847880143,100.0
0.0,0.01,6,87.17936892521223,88.13580099292719,100.0
0.0,0.01,4,88.43312525386105,91.57452607996622,100.0
0.0,0.01,10,95.15849584870627,92.70774603106538,100.0
0.0,0.01,8,98.95335358769859,90.87602909029778,100.0
0.0,0.01,7,88.809692171917,95.47349924902205,100.0
0.0,0.01,16,90.24491007296251,87.89213307599053,100.0
0.0,0.01,1,98.09462379301405,93.83384157744433,100.0
0.0,0.01,17,98.18622959425912,93.14628803792527,100.0
0.0,0.01,18,87.50375358234736,85.2829762097054,100.0
0.1,0.01,2,88.07285098593812,83.15298196698167,100.0
0.0,0.01,19,88.47654072654416,91.95407862825921,100.0
0.1,0.01,5,87.07428089717087,90.93527064516553,100.0
0.1,0.01,3,93.76120764687653,93.57313064181456,100.0
0.1,0.01,11,96.29185577227283,94.69016000073476,100.0
0.1,0.01,1,97.75388193755342,94.64424485585342,100.0
0.1,0.01,4,88.52800396547046,91.43897593214419,100.0
0.1,0.01,9,97.32821511553567,94.63290629394601,100.0
0.1,0.01,6,87.66844956979443,86.35132949378438,100.0
0.1,0.01,10,95.28713086914267,93.83870072680692,100.0
0.1,0.01,8,99.03838583587527,92.18766092295286,100.0
0.1,0.01,7,88.68538365521106,95.94904919318577,100.0
0.1,0.01,12,94.11212354223278,76.96616702480523,100.0
0.1,0.01,13,87.46005484643732,94.72245946978188,100.0
0.1,0.01,14,97.57885555496128,92.05807970194543,100.0
0.1,0.01,15,97.91613684432687,91.8690108216008,100.0
0.1,0.01,16,90.8282306046116,92.26028308921381,100.0
0.1,0.01,17,97.8038062204058,93.43378904314112,100.0
0.1,0.01,18,86.95259585688635,89.2719259733376,100.0
0.25,0.01,3,94.26918794510108,95.34268373420286,100.0
0.25,0.01,4,87.9198977884803,90.68795109314458,100.0
0.25,0.01,5,88.92433691330464,89.71827406851583,100.0
0.25,0.01,2,88.0253021328455,84.34488696769839,100.0
0.25,0.01,1,97.29763971804621,96.11888087989654,100.0
0.1,0.01,19,87.517979749276,92.68454298307478,100.0
0.25,0.01,9,97.13381874390744,95.74663987126513,100.0
0.25,0.01,6,87.70965111147126,85.71161814051693,100.0
