Sigma,Alpha,Seed,Cost,Peak
0.0,0.01,9,43.339678206102,12.438237029197303
0.0,0.01,2,48.068463133375005,13.538701604423636
0.0,0.01,4,49.74891702024959,13.811491144457415
0.0,0.01,10,52.861860236113245,15.315172907026813
0.0,0.01,1,54.04198061504171,16.981736021510656
0.0,0.01,5,58.70185473609056,19.433792459939845
0.0,0.01,7,54.84190781297218,15.12212136088807
0.0,0.01,6,50.8778448687042,14.26671264586171
0.0,0.01,3,48.204137876210865,15.317360263492986
0.0,0.01,8,62.19559040408897,19.88858633757164
0.0,0.01,11,50.91388931639661,16.17039621004584
0.0,0.01,0,57.239198432078524,16.427177483074065
0.0,0.01,12,54.25729005431197,15.238002167320907
0.0,0.01,14,54.84703663103915,23.562173993327605
0.1,0.01,2,42.41082669217064,13.696483460291839
0.0,0.01,17,46.42143007472666,12.016125664427936
0.0,0.01,19,54.46057194651333,17.346187207400718
0.0,0.01,15,46.8558524489911,12.880701178154872
0.1,0.01,7,38.76388801321222,12.680657674394194
0.1,0.01,5,52.69071139387931,22.604415449486947
0.1,0.01,4,42.162278501912894,12.797320912527663
0.0,0.01,18,46.78673089154515,14.804695335577676
0.1,0.01,0,46.3444806384644,13.641961764511827
0.0,0.01,16,50.33160979738903,14.973654409583828
0.1,0.01,11,53.35527242127148,19.210189826104525
0.1,0.01,10,51.54256788594278,11.623241130466868
0.1,0.01,6,54.40241171343322,13.792935928694614
0.1,0.01,9,59.29997355154922,15.232436318603195
0.1,0.01,1,51.31064608933292,15.636427278776784
0.0,0.01,13,55.70452495345183,18.172813519557476
0.1,0.01,3,57.95087860023086,14.855449583220638
0.1,0.01,8,59.7069689633241,12.472696207765644
0.1,0.01,16,46.774106918455665,17.375324071208794
0.1,0.01,12,55.65273222680094,19.178188577076874
0.1,0.01,13,49.38616404872677,12.35964897758205
0.1,0.01,17,44.73739297194742,11.926663585997748
0.25,0.01,1,44.03438814200538,12.825946817166203
0.25,0.01,2,50.65252397572002,13.034282935552337
0.1,0.01,14,58.924228296111124,14.22186382006446
0.25,0.01,4,52.16079471325697,14.918471407239231
0.1,0.01,18,53.71840520601726,12.693203229624173
0.25,0.01,5,46.66901992312635,19.484770498747814
0.1,0.01,19,54.00127292946401,15.29635364034601
0.1,0.01,15,50.86626317179076,13.138960045708757
0.25,0.01,0,52.59741521485706,16.544042915928
0.25,0.01,3,47.29506963006441,12.702252041585474
0.25,0.01,9,47.966387365491485,12.782311972932858
0.25,0.01,12,44.55768520527231,15.09074594002426
0.25,0.01,15,46.07116046425246,12.67460905623168
0.25,0.01,6,61.73126115076415,20.41380488220461
0.25,0.01,11,52.16664193934857,24.46167591440018
0.25,0.01,10,57.90198847494412,14.720506031337596
0.25,0.01,8,56.37334220398909,16.045652546622364
0.25,0.01,14,59.68744714475375,20.05786055280104
0.25,0.01,16,49.499411259485136,12.898812043158967
0.25,0.01,13,50.29322166366819,12.217113362983095
0.25,0.01,18,48.987731030608025,13.871727918608851
0.25,0.01,17,50.17168922352254,12.676956178023875
0.25,0.01,7,61.20569125043053,14.57699631
0.5,0.01,5,53.49325732649317,13.8497104677786
0.5,0.01,2,58.40824706380575,15.013071045346146
0.5,0.01,0,55.9141409996895,20.414433635432395
0.5,0.01,8,53.15761521532121,12.206594283444474
0.5,0.01,4,53.2570709235302,12.01517867312463
