Sigma,Alpha,Seed,Cost,Peak
0.75,0.01,0,14.151807601571738,5.455561810038355
0.0,0.05,0,27.536184810207402,10.322549212993295
0.0,0.15,0,27.536184810207402,10.322549212993295
0.0,0.3,0,27.536184810207402,10.322549212993295
0.0,0.01,0,27.536184810207402,10.322549212993295
0.1,0.15,0,27.67055735303373,9.880895529168782
0.25,0.15,0,27.930709461485783,8.985672375979949
0.1,0.05,0,27.674437365143827,9.564870940538427
0.1,0.01,0,28.006914076851498,10.406326555501309
0.25,0.05,0,28.48011438602345,8.390228676629782
0.5,0.15,0,27.359613543867553,7.9713443604913
0.25,0.01,0,26.69831028331721,8.604585212832964
0.5,0.05,0,24.590924947735676,7.719681787184763
0.5,0.01,0,24.122830383799965,5.731692616484995
0.75,0.15,0,24.679723952851813,7.918679259054287
0.75,0.05,0,22.87006069918351,5.473114141787707
0.1,0.3,0,27.586809388381425,10.146854124542166
0.0,0.5,0,27.536184810207402,10.322549212993295
0.25,0.3,0,27.482348056414963,9.73828004805638
0.1,0.5,0,27.536184810207402,10.322549212993295
0.25,0.5,0,27.536184810207402,10.322549212993295
0.75,0.5,0,27.536184810207402,10.322549212993295
0.5,0.5,0,27.536184810207402,10.322549212993295
0.5,0.3,0,27.94802446291534,8.973568166992933
0.75,0.3,0,28.549493472110125,8.460352446223698
0.0,0.01,11,21.347203595599932,10.428605026997719
0.0,0.01,9,24.35849781543727,10.419527181072299
0.0,0.01,14,17.926884487669557,11.12130187200147
0.0,0.01,1,30.454350242356973,12.900700316622654
0.0,0.01,8,22.6520443457156,11.27153681360568
0.0,0.01,3,27.22944978313149,11.453407554892621
0.0,0.01,4,24.170499930273692,10.514922625157244
0.0,0.01,15,20.48785881013895,10.0
0.0,0.01,10,26.662600640272153,10.324876605991447
0.0,0.01,12,25.299738162112018,12.386279205675574
0.0,0.01,5,23.449217399518876,10.0
0.0,0.01,6,30.71024884285704,12.653367622366632
0.0,0.01,2,26.60554577295324,12.148509802076077
0.0,0.01,13,26.081562345033845,10.0
0.0,0.01,16,25.49999348351745,10.0
0.0,0.01,7,30.748706701374687,12.285819690404704
0.0,0.01,18,24.873453384462863,10.885450680550761
0.0,0.01,17,25.77181364030558,11.926865405471164
0.0,0.01,19,22.33988940091806,10.394449118772702
0.1,0.01,11,21.782768827147272,9.251423360886385
0.1,0.01,2,26.997635287680506,10.752701010901077
0.1,0.01,3,27.67859631870144,9.84731314660821
0.1,0.01,9,24.322249162476172,9.249094161400233
0.1,0.01,6,31.887444969296336,12.262237432366632
0.1,0.01,4,24.787128598598727,9.136436640924408
0.1,0.01,5,22.957503914621704,8.9853147299692
0.1,0.01,13,27.452272902060788,8.956402923951828
0.1,0.01,8,23.1022190707279,9.875728031883
0.1,0.01,7,31.83580793052071,11.830889230404706
0.1,0.01,1,32.42536604969172,11.231732963995517
0.1,0.01,10,27.434258918345982,8.989960226103126
0.1,0.01,12,25.618573225927292,11.433058067550574
0.1,0.01,14,17.174462707246377,9.93544598370483
0.1,0.01,15,20.394588708051884,9.169347379756848
0.1,0.01,16,26.34391875244074,8.86295090189579
0.1,0.01,17,25.667491381992374,10.58495351535072
0.1,0.01,18,26.13780419629568,9.084284033911477
0.1,0.01,19,22.92725848016624,8.96999087476745
0.25,0.01,5,21.56747067674042,7.517125914574458
