Sigma,Alpha,Seed,Cost,Peak
0.0,0.01,5,46.04497541592499,13.755482242264364
0.0,0.01,10,58.49737480822913,18.19937564564493
0.0,0.01,3,54.020130756822205,14.743924987094255
0.0,0.01,7,53.293910751715934,12.57600866574101
0.0,0.01,9,56.238571455679725,15.256598956303764
0.0,0.01,11,52.005758249103366,12.57624640788647
0.0,0.01,8,50.408340780215205,15.70289677445217
0.0,0.01,4,50.355492867855354,15.231036457337785
0.0,0.01,0,57.9670045824512,14.48636788955343
0.0,0.01,1,65.76652084749364,16.35143118021139
0.0,0.01,6,65.74952440628611,21.82227444388225
0.1,0.01,3,53.72704928734354,13.830855460104093
0.1,0.01,5,45.42960434969669,12.968462304860294
0.1,0.01,4,49.96589595182984,13.839607242433697
0.0,0.01,19,43.620416498256795,12.39504774571163
0.0,0.01,16,54.08108090961751,14.342621457516309
